Task,Job id,CPU,MEM,DISK
R8_7,j_32,0.020255171,0.035185185,0.037854073
M3,j_32,0.016587094,0.035185185,0.024131069
R10_9,j_32,0.027007605,0.035185185,0.021728211
R6_5,j_32,0.033762984,0.035185185,0.022850965
J7_5_6,j_33,0.033793276,0.05,0.037048414
M6,j_33,0.037656856,0.028518519,0.046637795
M5,j_33,0.04074871,0.028518519,0.016406523
J9_2_4_8,j_33,0.043679296,0.042592593,0.034872381
R4_3,j_33,0.040466607,0.035185185,0.019736085
R8_7,j_33,0.03570326,0.042592593,0.049640024
R1_6,j_33,0.037026851,0.042592593,0.0198694
R2_1,j_33,0.015950032,0.035185185,0.01782401
R3_7,j_33,0.023727111,0.042592593,0.020694962
R3_2,j_34,0.026274247,0.021111111,0.017508957
M1,j_34,0.049994176,0.028518519,0.040066802
M4_3,j_34,0.037224144,0.021111111,0.011028176
R2_1,j_34,0.047520161,0.035185185,0.022938416
R5_4,j_34,0.030216582,0.021111111,0.010728187
M1,j_35,0.027860979,0.021111111,0.043788235
R2_1,j_35,0.041777368,0.021111111,0.015330012
M3_2,j_35,0.046994958,0.021111111,0.03617193
task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,j_36,0.04532189,0.01,0.016658059
task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,j_36,0.02638708,0.01,0.029980614
task_ODk2MzU0ODg1MTY5MTExNTUwMg==,j_36,0.046539834,0.01,0.046741034
R2_1,j_37,0.014650442,0.035185185,0.029557972
M1,j_37,0.018260893,0.028518519,0.020177524
M3_2,j_37,0.029561381,0.024814815,0.048879639
M4,j_38,0.028680977,0.028518519,0.021402478
R6_5,j_38,0.040198729,0.035185185,0.022994603
M2,j_38,0.012210769,0.028518519,0.03391755
M1,j_38,0.027455026,0.028518519,0.030456582
M3,j_38,0.046551555,0.028518519,0.023390132
J5_1_2_3_4,j_38,0.018930272,0.05,0.012927157
M3,j_39,0.016037844,0.028518519,0.047118935
J4_2_3,j_39,0.0182286,0.05,0.037961755
M1,j_39,0.020819154,0.028518519,0.04498287
J5_1_4,j_39,0.013162984,0.05,0.020367495
M2,j_39,0.044838483,0.028518519,0.010531082
R6_5,j_39,0.041541218,0.035185185,0.030345327
R1_2,j_40,0.025805959,0.021111111,0.018039887
M4_1_3_6,j_40,0.014634822,0.021111111,0.029081461
M2,j_40,0.02296008,0.021111111,0.013778529
M5,j_40,0.041424917,0.021111111,0.040799058
R6_5,j_40,0.016662283,0.021111111,0.023099558
R3_2,j_40,0.042709615,0.021111111,0.04148612
R4_3,j_41,0.028696059,0.042592593,0.043331983
M2,j_41,0.027566805,0.028518519,0.021248847
R7_6,j_41,0.021723158,0.042592593,0.020028703
R5_4,j_41,0.039967285,0.035185185,0.035358157
M3,j_41,0.038558135,0.028518519,0.016914023
R9_8,j_41,0.038346656,0.035185185,0.048626519
J8_1_2_7,j_41,0.045243678,0.05,0.030023811
J6_2_5,j_41,0.044373558,0.05,0.046112992
M1,j_41,0.040214508,0.028518519,0.037362491
J6_4_5,j_42,0.045857602,0.05,0.019712842
M2,j_42,0.048984856,0.028518519,0.016928111
M4,j_42,0.031691186,0.028518519,0.047252403
J1_3_6,j_42,0.047822684,0.05,0.033833021
R8_1_7,j_42,0.027320171,0.042592593,0.011839194
J7_3_6,j_42,0.017705064,0.05,0.022433766
R9_8,j_42,0.017980435,0.035185185,0.021962893
R3_2,j_42,0.048546543,0.035185185,0.047203395
M5,j_42,0.028261643,0.028518519,0.048451626
R8_7,j_43,0.029893977,0.035185185,0.029438337
R7_6,j_43,0.030322931,0.042592593,0.03058298
M1,j_43,0.047021045,0.028518519,0.010817186
R3_2,j_43,0.036431786,0.035185185,0.028964922
R6_5,j_43,0.0488183,0.042592593,0.032334896
J5_1_4,j_43,0.017146983,0.05,0.048554564
M4_3,j_43,0.038498557,0.032222222,0.019230837
M2,j_43,0.046734064,0.032222222,0.037609065
J6_4_5,j_44,0.04180739,0.05,0.030136429
R2_1,j_44,0.038755534,0.042592593,0.042816691
R9_8,j_44,0.02849887,0.042592593,0.048618875
J7_3_6,j_44,0.021157859,0.05,0.014196813
M4,j_44,0.019162101,0.028518519,0.016921676
J8_2_7,j_44,0.024591757,0.05,0.046309655
M5,j_44,0.030757751,0.028518519,0.024460518
M3,j_44,0.033114886,0.028518519,0.045899834
R10_9,j_44,0.044645994,0.035185185,0.045977576
M1,j_44,0.036442316,0.028518519,0.019538823
R7_6,j_45,0.035713752,0.042592593,0.024944884
R2_1,j_45,0.010532034,0.042592593,0.039402026
M3,j_45,0.013471754,0.028518519,0.024987377
R4_3,j_45,0.011579837,0.042592593,0.027198944
R8_7,j_45,0.03554724,0.035185185,0.044020508
R6_5,j_45,0.032170675,0.042592593,0.010182058
J5_2_4,j_45,0.032523116,0.05,0.023931675
M1,j_45,0.047817003,0.028518519,0.023785035
M4_3_6,j_46,0.027629687,0.021111111,0.035163081
M7_3_6,j_46,0.031575026,0.035185185,0.032272103
M5,j_46,0.026665401,0.021111111,0.045995862
M1,j_46,0.018663014,0.021111111,0.02740141
J8_2_4_7,j_46,0.027385998,0.021111111,0.041401769
R6_5,j_46,0.030742183,0.021111111,0.035921645
R3_5,j_46,0.011314554,0.021111111,0.01207419
R2_1,j_46,0.033483571,0.021111111,0.037753673
J7_5_6,j_47,0.037809979,0.021111111,0.02662226
R4_3,j_47,0.040695423,0.021111111,0.020062998
M3,j_47,0.016093827,0.021111111,0.041838633
M6,j_47,0.020783406,0.035185185,0.029673158
R2_1,j_47,0.038363972,0.021111111,0.030580914
R8_7,j_47,0.022714684,0.028518519,0.037589716
M1,j_47,0.031770691,0.021111111,0.049955726
M5_2_4,j_47,0.015784262,0.021111111,0.025706122
R2_1,j_48,0.015700697,0.042592593,0.037830334
R3_2,j_48,0.035210499,0.042592593,0.032882251
M1,j_48,0.013206798,0.028518519,0.040474221
R6_5,j_48,0.015434647,0.042592593,0.04444922
M5_4,j_48,0.032543187,0.028518519,0.024374935
R4_3,j_48,0.040473815,0.035185185,0.033655075
R7_6,j_48,0.03361792,0.035185185,0.020897263
M3_2,j_49,0.023216051,0.042592593,0.028483357
J6_3_5,j_49,0.022020176,0.05,0.025795966
M4,j_49,0.014537855,0.028518519,0.012036065
R7_6,j_49,0.01102375,0.035185185,0.036827961
M1,j_49,0.029898489,0.028518519,0.040712385
R2_1,j_49,0.033321081,0.035185185,0.038816056
R5_4,j_49,0.032378127,0.035185185,0.027400179
R2_1,j_50,0.044269379,0.035185185,0.033428838
M1,j_50,0.02923135,0.028518519,0.043002227
R6_1,j_50,0.022843177,0.035185185,0.018661817
R3_1,j_50,0.025185032,0.035185185,0.036828725
R4_1,j_50,0.024651499,0.035185185,0.039570097
R7_1,j_50,0.015912048,0.035185185,0.013036882
R5_1,j_50,0.019169191,0.035185185,0.031602354
M3,j_51,0.025524784,0.028518519,0.036976775
M2,j_51,0.049618067,0.028518519,0.043790362
M4,j_51,0.04023424,0.028518519,0.024528327
J8_1_2_3_4_7,j_51,0.044615076,0.042592593,0.01824418
J7_5_6,j_51,0.042271273,0.05,0.020585698
M5,j_51,0.024465447,0.028518519,0.014841438
M1,j_51,0.04892543,0.028518519,0.021560668
M6,j_51,0.029656329,0.028518519,0.0218452
M1,j_52,0.024921333,0.028518519,0.028184896
R6_5,j_52,0.049394778,0.035185185,0.017313749
J5_1_2,j_52,0.04630638,0.05,0.013230417
J3_1_2,j_52,0.010297665,0.05,0.043748251
M2,j_52,0.047520892,0.028518519,0.038491497
R4_3,j_52,0.0130538,0.035185185,0.042443101
M3,j_53,0.01316143,0.028518519,0.044761008
R5_4,j_53,0.013977256,0.035185185,0.036657623
J4_2_3,j_53,0.024221894,0.05,0.012634686
M1,j_53,0.015124642,0.042592593,0.042249559
R2_1,j_53,0.016458001,0.042592593,0.031466574
R3_2,j_54,0.016053431,0.021111111,0.012180842
R2_1,j_54,0.044511193,0.021111111,0.042074874
R6_5,j_54,0.025836234,0.035185185,0.029800523
R5_4,j_54,0.021188982,0.021111111,0.010409812
R4_3,j_54,0.038879233,0.021111111,0.025781062
M1,j_54,0.034595918,0.028518519,0.02525029
M1,j_55,0.036022216,0.021111111,0.049319836
R3_2,j_55,0.02173301,0.021111111,0.016510028
M4_3,j_55,0.033398965,0.021111111,0.023598755
R2_1,j_55,0.041888388,0.021111111,0.016861706
R9_8,j_56,0.01915294,0.035185185,0.01893358
M3,j_56,0.039629113,0.028518519,0.038029418
M2,j_56,0.029504112,0.028518519,0.017395665
J5_1_4,j_56,0.030334793,0.05,0.026860569
J4_2_3,j_56,0.018467946,0.05,0.035594027
M7,j_56,0.04515276,0.028518519,0.028099186
J6_1_5,j_56,0.041899478,0.05,0.015601065
J8_6_7,j_56,0.034346738,0.05,0.030331916
M1,j_56,0.022783838,0.028518519,0.01832024
R2_1,j_57,0.047732379,0.035185185,0.021557089
M1,j_57,0.041111013,0.028518519,0.010268993
M3_2,j_57,0.018379137,0.024814815,0.031307286
task_ODk2MzU0ODg1MTY5MTExNTUwMg==,j_58,0.022471704,0.01,0.030315972
task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,j_58,0.032035841,0.01,0.03246035
task_MTM0ODUxMTY0NjQzMTI1NTc1MQ==,j_58,0.02196561,0.01,0.032913607
R5_4,j_59,0.03468264,0.035185185,0.028894587
J4_1_3,j_59,0.045538607,0.05,0.049468425
R3_2,j_59,0.026436016,0.042592593,0.039642796
M1,j_59,0.029974727,0.028518519,0.026271326
M2,j_59,0.049674328,0.028518519,0.023767047
J9_6_7_8,j_60,0.016006209,0.035185185,0.038887979
R10_9,j_60,0.022820175,0.021111111,0.029317783
M7,j_60,0.026306187,0.05,0.024218126
M2,j_60,0.032526059,0.021111111,0.047548261
R5_4,j_60,0.037768423,0.021111111,0.033368857
J4_1_2_3,j_60,0.026594649,0.021111111,0.015948168
M8,j_60,0.024078762,0.021111111,0.029095658
M1,j_60,0.019006101,0.021111111,0.026477259
M3,j_60,0.048531728,0.021111111,0.049819358
M6,j_60,0.025772476,0.021111111,0.022767251
M1,j_61,0.039882026,0.021111111,0.037512828
R2_1,j_61,0.016583216,0.021111111,0.021936671
R2_1,j_62,0.039613412,0.021111111,0.04217444
M1,j_62,0.01361046,0.021111111,0.041864242
R2_1,j_63,0.010254995,0.035185185,0.029271518
M1,j_63,0.012159661,0.028518519,0.033550723
M1,j_64,0.011532288,0.021111111,0.013651894
M4,j_64,0.014848041,0.021111111,0.037898279
R3_2,j_64,0.03078131,0.021111111,0.026547171
J5_3_4,j_64,0.038547881,0.021111111,0.023248341
J6_3_4,j_64,0.017460124,0.021111111,0.022237486
R2_1,j_64,0.037643831,0.021111111,0.011049792
M3,j_65,0.024280355,0.028518519,0.031454422
R1_3,j_65,0.027873698,0.042592593,0.02810039
J5_1_2_4,j_65,0.023344713,0.042592593,0.04185723
R4_3,j_65,0.045155814,0.042592593,0.021460059
M2,j_65,0.032236636,0.028518519,0.030422953
J7_2_3_6,j_66,0.032707204,0.05,0.03936022
R9_8,j_66,0.019863007,0.035185185,0.01709858
M4,j_66,0.013055923,0.028518519,0.027234139
M3,j_66,0.017837997,0.028518519,0.021856504
R2_1,j_66,0.011428205,0.035185185,0.012746597
R8_7,j_66,0.039668743,0.042592593,0.017531722
J5_3_4,j_66,0.021059361,0.05,0.046824267
J6_3_5,j_66,0.038440754,0.05,0.046162197
M1,j_66,0.020202955,0.028518519,0.041174813
M6_2_5,j_67,0.023859383,0.028518519,0.041429574
R5_4,j_67,0.042626947,0.035185185,0.011953883
M1,j_67,0.014903966,0.028518519,0.043009516
R2_1,j_67,0.020131006,0.035185185,0.035712139
R4_3,j_67,0.012010321,0.042592593,0.026643491
M3,j_67,0.041673771,0.028518519,0.039391488
R7_6,j_67,0.033081696,0.035185185,0.041951969
J8_2_4_7,j_68,0.023268837,0.021111111,0.012246943
R3_7,j_68,0.039211579,0.021111111,0.016144811
R1_5,j_68,0.045009529,0.021111111,0.028580131
M7_6,j_68,0.048911646,0.021111111,0.046554467
R4_3,j_68,0.027077249,0.021111111,0.019076145
R6_5,j_68,0.010859969,0.021111111,0.021406227
R2_1,j_68,0.043958669,0.021111111,0.045414302
M5,j_68,0.038452354,0.021111111,0.014348139
J2_1_6,j_69,0.02780101,0.021111111,0.035186001
R7_6,j_69,0.028774664,0.021111111,0.015581598
R3_2,j_69,0.012137421,0.021111111,0.012317965
J8_3_7,j_69,0.016533954,0.021111111,0.011434378
R5_4,j_69,0.026459875,0.021111111,0.033035826
M6_5,j_69,0.02020594,0.021111111,0.03698148
M4,j_69,0.04458122,0.021111111,0.021729577
M1,j_69,0.048261801,0.035185185,0.048228949
R2_1,j_70,0.041795814,0.035185185,0.034955714
M1,j_70,0.036847463,0.028518519,0.038168879
R6_5,j_70,0.022143654,0.035185185,0.049886484
R5_4,j_70,0.020870514,0.042592593,0.048570776
M3_2,j_70,0.020511309,0.028518519,0.042038863
R4_3,j_70,0.034578393,0.042592593,0.034248585
R3_2,j_71,0.011197908,0.021111111,0.030150996
M4_3,j_71,0.033354659,0.021111111,0.039949905
R5_4,j_71,0.027830059,0.021111111,0.016709507
R2_1,j_71,0.015351199,0.021111111,0.02223058
M1,j_71,0.031698427,0.021111111,0.045414322
R5_4,j_72,0.016162552,0.035185185,0.037439046
M2,j_72,0.026337612,0.028518519,0.019024544
R7_6,j_72,0.041609787,0.035185185,0.035815638
J3_1_2,j_72,0.040977559,0.05,0.040824781
M1,j_72,0.045482871,0.028518519,0.01458654
R4_3,j_72,0.035697694,0.042592593,0.024527157
M6_5,j_72,0.036273118,0.028518519,0.028552133
M3_2,j_73,0.04641155,0.028518519,0.042687969
M1,j_73,0.035360469,0.028518519,0.020944168
R2_1,j_73,0.0175396,0.035185185,0.019424048
R4_3,j_73,0.033816978,0.035185185,0.044882156
R9_8,j_74,0.019509566,0.042592593,0.032114552
R7_6,j_74,0.015928836,0.042592593,0.038181519
J8_3_5_7,j_74,0.01639966,0.05,0.028327017
M4,j_74,0.037770586,0.028518519,0.034145693
M2,j_74,0.043134142,0.028518519,0.024945724
M1,j_74,0.038600135,0.028518519,0.032295728
R5_4,j_74,0.036756089,0.042592593,0.043891955
M6,j_74,0.028117367,0.028518519,0.012704385
R3_1_2,j_74,0.014278743,0.042592593,0.036432619
R10_9,j_74,0.021280591,0.035185185,0.047151918
M5,j_75,0.022994996,0.021111111,0.011562905
M2,j_75,0.020527182,0.021111111,0.020676213
M4,j_75,0.016188867,0.021111111,0.04360482
J7_1_2_3_4_5_6,j_75,0.022694325,0.021111111,0.046831289
M1,j_75,0.026647666,0.021111111,0.020282741
M6,j_75,0.042075541,0.021111111,0.0198013
M3,j_75,0.043505157,0.021111111,0.042717183
J3_2_4,j_76,0.038975929,0.035185185,0.01199403
M2,j_76,0.026595622,0.021111111,0.027684676
R9_8,j_76,0.016722449,0.021111111,0.022837655
R7_6,j_76,0.020454072,0.021111111,0.046578953
M4,j_76,0.0138394,0.035185185,0.025901518
R8_7,j_76,0.049574838,0.021111111,0.011457044
M5,j_76,0.038372573,0.035185185,0.04645947
J6_1_3_4_5,j_76,0.030136262,0.035185185,0.047925587
M1,j_76,0.030567464,0.035185185,0.035696785
J8_3_5_6_7,j_77,0.049567029,0.05,0.030416804
R3_2,j_77,0.014949052,0.035185185,0.016577291
M6,j_77,0.011300535,0.028518519,0.014142026
M7,j_77,0.030947831,0.028518519,0.028258582
R2_1,j_77,0.022337853,0.042592593,0.045533054
M4,j_77,0.012025493,0.032222222,0.035146251
M1,j_77,0.01022938,0.028518519,0.019807595
R5_4,j_77,0.044450998,0.035185185,0.048277989
R9_8,j_77,0.028780398,0.035185185,0.02969461
M2,j_78,0.03964233,0.028518519,0.029660167
M1,j_78,0.029244226,0.028518519,0.028531209
J5_3_4,j_78,0.046333751,0.05,0.017092908
M4,j_78,0.042610234,0.028518519,0.018339409
R3_2,j_78,0.045158188,0.042592593,0.024693286
J6_1_5,j_78,0.022638463,0.042592593,0.034857582
M1,j_79,0.01810039,0.028518519,0.040448425
J6_2_4_5,j_79,0.031688509,0.05,0.012798213
R7_6,j_79,0.017284077,0.035185185,0.048663641
M3,j_79,0.01175879,0.028518519,0.046305541
M5,j_79,0.038518114,0.028518519,0.039975216
R2_1,j_79,0.027096226,0.042592593,0.031266062
R4_3,j_79,0.03311021,0.042592593,0.025763092
R4_3,j_80,0.024910136,0.042592593,0.015474153
R7_6,j_80,0.0486138,0.035185185,0.012244613
R5_4,j_80,0.041471068,0.035185185,0.016541898
M1,j_80,0.039785548,0.028518519,0.037715191
M2,j_80,0.037627478,0.028518519,0.045485311
M6_5,j_80,0.037307326,0.028518519,0.034131436
J3_1_2,j_80,0.010876575,0.05,0.019038397
R2_1,j_81,0.03226408,0.042592593,0.032229837
R3_2,j_81,0.042864173,0.042592593,0.037998842
R4_3,j_81,0.026880967,0.035185185,0.048840586
M1,j_81,0.039939403,0.028518519,0.0417666
M8,j_82,0.032490687,0.028518519,0.022853805
M5,j_82,0.043659242,0.032222222,0.014799115
M3,j_82,0.027593583,0.032222222,0.047273352
